V1	I(D1)
3.960000000000000e-01	3.167550e-05
3.970000000000000e-01	3.229908e-05
3.980000000000000e-01	3.293493e-05
3.990000000000000e-01	3.358329e-05
4.000000000000000e-01	3.424441e-05
4.010000000000000e-01	3.491854e-05
4.020000000000000e-01	3.560594e-05
4.030000000000000e-01	3.630686e-05
4.040000000000000e-01	3.702157e-05
4.050000000000000e-01	3.775035e-05
4.060000000000000e-01	3.849347e-05
4.070000000000000e-01	3.925120e-05
4.080000000000000e-01	4.002386e-05
4.090000000000000e-01	4.081171e-05
4.100000000000000e-01	4.161507e-05
4.110000000000000e-01	4.243423e-05
4.120000000000000e-01	4.326951e-05
4.130000000000000e-01	4.412123e-05
4.140000000000000e-01	4.498971e-05
4.150000000000000e-01	4.587527e-05
4.160000000000000e-01	4.677826e-05
4.170000000000000e-01	4.769902e-05
4.180000000000000e-01	4.863790e-05
4.190000000000000e-01	4.959525e-05
4.200000000000000e-01	5.057144e-05
4.210000000000000e-01	5.156684e-05
4.220000000000000e-01	5.258183e-05
4.230000000000000e-01	5.361678e-05
4.240000000000000e-01	5.467210e-05
4.250000000000000e-01	5.574819e-05
4.260000000000000e-01	5.684545e-05
4.270000000000000e-01	5.796429e-05
4.280000000000000e-01	5.910516e-05
4.290000000000000e-01	6.026847e-05
4.300000000000000e-01	6.145467e-05
4.310000000000000e-01	6.266422e-05
4.320000000000000e-01	6.389756e-05
4.330000000000000e-01	6.515517e-05
4.340000000000000e-01	6.643753e-05
4.350000000000000e-01	6.774512e-05
4.360000000000000e-01	6.907844e-05
4.370000000000000e-01	7.043799e-05
4.380000000000000e-01	7.182430e-05
4.390000000000000e-01	7.323788e-05
4.400000000000000e-01	7.467927e-05
4.410000000000000e-01	7.614902e-05
4.420000000000000e-01	7.764770e-05
4.430000000000000e-01	7.917586e-05
4.440000000000000e-01	8.073409e-05
4.450000000000000e-01	8.232299e-05
4.460000000000000e-01	8.394314e-05
4.470000000000000e-01	8.559517e-05
4.480000000000000e-01	8.727971e-05
4.490000000000000e-01	8.899739e-05
4.500000000000000e-01	9.074887e-05
4.510000000000000e-01	9.253481e-05
4.520000000000000e-01	9.435589e-05
4.530000000000000e-01	9.621280e-05
4.540000000000000e-01	9.810625e-05
4.550000000000000e-01	1.000370e-04
4.560000000000000e-01	1.020056e-04
4.570000000000000e-01	1.040131e-04
4.580000000000000e-01	1.060600e-04
4.590000000000000e-01	1.081472e-04
4.600000000000000e-01	1.102754e-04
4.610000000000000e-01	1.124456e-04
4.620000000000000e-01	1.146584e-04
4.630000000000000e-01	1.169148e-04
4.640000000000000e-01	1.192156e-04
4.650000000000000e-01	1.215616e-04
4.660000000000000e-01	1.239538e-04
4.670000000000000e-01	1.263930e-04
4.680000000000000e-01	1.288803e-04
4.690000000000000e-01	1.314165e-04
4.700000000000000e-01	1.340026e-04
4.710000000000000e-01	1.366395e-04
4.720000000000000e-01	1.393284e-04
4.730000000000000e-01	1.420701e-04
4.740000000000000e-01	1.448658e-04
4.750000000000000e-01	1.477165e-04
4.760000000000000e-01	1.506233e-04
4.770000000000000e-01	1.535872e-04
4.780000000000000e-01	1.566095e-04
4.790000000000000e-01	1.596913e-04
4.800000000000000e-01	1.628336e-04
4.810000000000000e-01	1.660378e-04
4.820000000000000e-01	1.693051e-04
4.830000000000000e-01	1.726366e-04
4.840000000000000e-01	1.760336e-04
4.850000000000000e-01	1.794975e-04
4.860000000000000e-01	1.830296e-04
4.870000000000000e-01	1.866311e-04
4.880000000000000e-01	1.903034e-04
